 # of RX ,description,AMITRIPTYLINE,BUPROPION,CITALOPRAM,DESVENLAFAXINE,DOXEPIN,DULOXETINE,ESCITALOPRAM,FLUOXETINE,MIRTAZAPINE,NORTRIPTYLINE,OTHER,PAROXETINE,ROPINIROLE,SERTRALINE,TRAZODONE,VENLAFAXINE
  5 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,0.1617161716,,,,0.08505747126,0.1279863481,,,0.1226415094,,,0.1392961877,,
  2 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801) | ROUTINE INFANT OR CHILD HEALTH CHECK (dxo:ICD9:V202)",,,,,,,,0.119047619,,,,,,0.1391304348,,
  1 ,Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791),,,,,,,,,,,,,,0.1960784314,,
  3 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,,,,,0.07446808511,0.1590106007,,,,,,0.1637168142,,
  1 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | ROUTINE INFANT OR CHILD HEALTH CHECK (dxo:ICD9:V202)",,,,,,,,0.1590909091,,,,,,,,
  3 ,Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801),,0.02479338843,,,,,,0.1282051282,,,,,,0.186746988,,
  3 ,"Age: 13-19 | Gender: Female | ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD (dxo:ICD9:30928) | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,,,,,0.0589569161,0.201754386,,,,,,0.1658536585,,
  1 ,Age: 13-19 | Gender: Female | ALBUTEROL,,,0.3858267717,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | ALBUTEROL SULFATE,,,,,,,0.1530054645,,,,,,,,,
  9 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL,0.01582591494,0.06422018349,0.2702702703,,,0.1677419355,0.1086956522,0.234939759,,,0.2056410256,,,0.2765957447,,0.4403669725
  1 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | BUPROPION HCL,,,,,,,,,,,0.1383928571,,,,,
  2 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | CITALOPRAM HYDROBROMIDE,,,0.3816793893,,,,,,,,0.223880597,,,,,
  2 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | ESCITALOPRAM OXALATE,,,,,,,0.2105263158,,,,0.1478873239,,,,,
  3 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | FLUOXETINE HCL,0.01388888889,,,,,,,0.3700440529,,,0.2008196721,,,,,
  1 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | HEADACHE (dxo:ICD9:7840),0.01315789474,,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | HEADACHE (dxo:ICD9:7840) | Last AD: Same & No Remiss,0.006802721088,,,,,,,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | HEADACHE (dxo:ICD9:7840) | Last AD: Same & No Remiss | MIGRAINE, UNSPECIFIED WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS (dxo:ICD9:34690)",0.007407407407,,,,,,,,,,,,,,,
  4 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | Last AD: Diff & No Remiss,,,,,,,0.09433962264,0.3461538462,,,0.27734375,,,0.3881578947,,
  1 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | Last AD: Same & No Remiss,0.00542888165,,,,,,,,,,,,,,,
  3 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | SERTRALINE HCL,0.02112676056,,,,,,,,,,0.2051282051,,,0.3639240506,,
  1 ,Age: 13-19 | Gender: Female | AMITRIPTYLINE HCL | TRAZODONE HCL,,,,,,,,,,,0.170984456,,,,,
  5 ,"Age: 13-19 | Gender: Female | ANXIETY STATE, UNSPECIFIED (dxo:ICD9:30000)",,0.04724409449,,,,,0.1193016489,0.3107344633,,,,0.2756756757,,0.5092592593,,
  2 ,"Age: 13-19 | Gender: Female | ANXIETY STATE, UNSPECIFIED (dxo:ICD9:30000) | DEPRESSIVE DISORDER, NOT ELSEWHERE CLASSIFIED (dxo:ICD9:311)",,,,,,,0.1454545455,0.3168316832,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | ANXIETY STATE, UNSPECIFIED (dxo:ICD9:30000) | ESCITALOPRAM OXALATE",,,,,,,0.24375,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | ANXIETY STATE, UNSPECIFIED (dxo:ICD9:30000) | ESCITALOPRAM OXALATE | Last AD: Same & No Remiss",,,,,,,0.1055276382,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | ANXIETY STATE, UNSPECIFIED (dxo:ICD9:30000) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,,,,,0.05882352941,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | ANXIETY STATE, UNSPECIFIED (dxo:ICD9:30000) | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,,,,,0.08762886598,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | ANXIETY STATE, UNSPECIFIED (dxo:ICD9:30000) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,,,,,0.0701754386,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | ANXIETY STATE, UNSPECIFIED (dxo:ICD9:30000) | ROUTINE GYNECOLOGICAL EXAMINATION (dxo:ICD9:V7231)",,,,,,,0.1176470588,,,,,,,,,
  6 ,Age: 13-19 | Gender: Female | ARIPIPRAZOLE,,,0.1981981982,,,0.08666666667,0.05586592179,0.1635220126,,,,,,0.1224489796,,0.1513157895
  1 ,Age: 13-19 | Gender: Female | ARIPIPRAZOLE | ESCITALOPRAM OXALATE,,,,,,,,,,,0.09174311927,,,,,
  2 ,Age: 13-19 | Gender: Female | ARIPIPRAZOLE | FLUOXETINE HCL,,,,,,,,0.2045454545,,,0.1120689655,,,,,
  1 ,Age: 13-19 | Gender: Female | ARIPIPRAZOLE | Last AD: Same & No Remiss | SERTRALINE HCL,,,,,,,,,,,,,,0.1153846154,,
  2 ,Age: 13-19 | Gender: Female | ARIPIPRAZOLE | SERTRALINE HCL,,,,,,,,,,,0.09589041096,,,0.1724137931,,
  1 ,Age: 13-19 | Gender: Female | ATTENTION DEFICIT DISORDER OF CHILDHOOD WITH HYPERACTIVITY (dxo:ICD9:31401),,0.03846153846,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | ATTENTION DEFICIT DISORDER OF CHILDHOOD WITH HYPERACTIVITY (dxo:ICD9:31401) | ATTENTION DEFICIT DISORDER OF CHILDHOOD WITHOUT MENTION OF HYPERACTIVITY (dxo:ICD9:31400),,0.03846153846,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | ATTENTION DEFICIT DISORDER OF CHILDHOOD WITH HYPERACTIVITY (dxo:ICD9:31401) | BUPROPION HCL,,0.04195804196,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | ATTENTION DEFICIT DISORDER OF CHILDHOOD WITH HYPERACTIVITY (dxo:ICD9:31401) | BUPROPION HCL | Last AD: Same & No Remiss,,0.01657458564,,,,,,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | ATTENTION DEFICIT DISORDER OF CHILDHOOD WITH HYPERACTIVITY (dxo:ICD9:31401) | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,0.04790419162,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | ATTENTION DEFICIT DISORDER OF CHILDHOOD WITHOUT MENTION OF HYPERACTIVITY (dxo:ICD9:31400),,0.04365904366,,,,,,,,,,,,,,
  2 ,Age: 13-19 | Gender: Female | AZITHROMYCIN,,,,,,,0.1968085106,,,,,,,0.3937823834,,
  10 ,Age: 13-19 | Gender: Female | BUPROPION HCL,,0.04494581631,0.2174688057,,,0.1415929204,0.121927237,0.2466555184,,,0.2142857143,0.2234042553,,0.2630434783,0.03351955307,0.25
  3 ,Age: 13-19 | Gender: Female | BUPROPION HCL | CITALOPRAM HYDROBROMIDE,,0.05445544554,0.327510917,,,,,,,,0.234375,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | CITALOPRAM HYDROBROMIDE | TRAZODONE HCL,,,,,,,,,,,0.16,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | DULOXETINE HCL,,,,,,,,,,,0.1455696203,,,,,
  5 ,Age: 13-19 | Gender: Female | BUPROPION HCL | ESCITALOPRAM OXALATE,,0.02341137124,,,,,0.1930232558,0.248,,,0.1844660194,,,0.2676056338,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | ESCITALOPRAM OXALATE | FLUOXETINE HCL,,,,,,,,,,,0.1652173913,,,,,
  2 ,Age: 13-19 | Gender: Female | BUPROPION HCL | ESCITALOPRAM OXALATE | Last AD: Diff & No Remiss,,0.0206185567,,,,,0.2878787879,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | ESCITALOPRAM OXALATE | TRAZODONE HCL,,,,,,,,,,,0.1443850267,,,,,
  5 ,Age: 13-19 | Gender: Female | BUPROPION HCL | FLUOXETINE HCL,,0.06363636364,,,,,0.1139240506,0.2506224066,,,0.2163225172,,,0.2117647059,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | FLUOXETINE HCL | Last AD: Diff & No Remiss,,0.04519774011,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | FLUOXETINE HCL | Num Previous Antidep: 4+ | TRAZODONE HCL,,,,,,,,,,,0.1441441441,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | FLUOXETINE HCL | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,,,,,,,,,0.1962616822,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | FLUOXETINE HCL | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,,,,,,,,,0.2242990654,,,,,
  3 ,Age: 13-19 | Gender: Female | BUPROPION HCL | FLUOXETINE HCL | SERTRALINE HCL,,,,,,,,0.2746478873,,,0.1743119266,,,0.3361344538,,
  3 ,Age: 13-19 | Gender: Female | BUPROPION HCL | FLUOXETINE HCL | TRAZODONE HCL,,0.04605263158,,,,,,0.1804511278,,,0.158490566,,,,,
  2 ,Age: 13-19 | Gender: Female | BUPROPION HCL | LAMOTRIGINE,,,,,,,,0.1666666667,,,0.09243697479,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | LAMOTRIGINE | TRAZODONE HCL,,,,,,,,,,,0.09558823529,,,,,
  4 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Last AD: Diff & No Remiss,,,,,,,0.1554054054,,,,0.2283464567,,,0.4272727273,0.04545454545,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Last AD: Diff & No Remiss | SERTRALINE HCL,,0.02312138728,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Last AD: Diff & No Remiss | TRAZODONE HCL,,0.02898550725,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Last AD: Same & No Remiss,,0.02482269504,,,,,,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | Last AD: Same & No Remiss | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,0.01485148515,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Last AD: Same & No Remiss | SERTRALINE HCL,,0.01694915254,,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Last AD: Same & Remiss,,,,,,,,,,,0.5378787879,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Last AD: Same & Remiss | TRAZODONE HCL,,,,,,,,,,,0.5267857143,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION (dxo:ICD9:29635)",,,,,,,,,,,0.5403726708,,,,,
  2 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED (dxo:ICD9:29630)",,0.3450134771,,,,,,,,,0.4070660522,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED (dxo:ICD9:29630) | Num Previous Antidep: 4+ | TRAZODONE HCL",,,,,,,,,,,0.3076923077,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED (dxo:ICD9:29630) | TRAZODONE HCL",,,,,,,,,,,0.3341968912,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | MIRTAZAPINE,,,,,,,,,,,0.1927083333,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | Num Previous Antidep: 2,3 | SERTRALINE HCL",,,,,,,,,,,,,,0.5339805825,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Num Previous Antidep: 4+,,,,,,,,,,,0.1857923497,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | Num Previous Antidep: 4+ | TRAZODONE HCL,,,,,,,,,,,0.1704781705,,,,,
  3 ,Age: 13-19 | Gender: Female | BUPROPION HCL | PAROXETINE HCL,,0.05128205128,,,,,,,,,0.2407407407,0.2722513089,,,,
  3 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,0.07604562738,,,,,,,,,0.05208333333,,,,,0.1525423729
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | SERTRALINE HCL",,,,,,,,,,,0.1653543307,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801),,,,,,,,,,,0.07627118644,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,,,,,,,,,0.1393442623,,,,,
  1 ,"Age: 13-19 | Gender: Female | BUPROPION HCL | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | SERTRALINE HCL",,,,,,,,,,,,,,0.25,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | RISPERIDONE,,,,,,,,,,,0.06779661017,,,,,
  1 ,Age: 13-19 | Gender: Female | BUPROPION HCL | RISPERIDONE | TRAZODONE HCL,,,,,,,,,,,0.08771929825,,,,,
  6 ,Age: 13-19 | Gender: Female | BUPROPION HCL | SERTRALINE HCL,,0.03237410072,0.1982758621,,,,0.1229050279,0.2298387097,,,0.2297297297,,,0.3023474178,,
  2 ,Age: 13-19 | Gender: Female | BUPROPION HCL | SERTRALINE HCL | TRAZODONE HCL,,0.06086956522,,,,,,,,,0.1417624521,,,,,
  3 ,Age: 13-19 | Gender: Female | BUPROPION HCL | TRAZODONE HCL,,0.04943502825,,,,,,,,,0.1760738374,,,,0.0157480315,
  3 ,Age: 13-19 | Gender: Female | BUPROPION HCL | VENLAFAXINE HCL,,0.06481481481,,,,,,,,,0.1700288184,,,,,0.3072916667
  1 ,Age: 13-19 | Gender: Female | CEFDINIR,,,,,,,0.1641791045,,,,,,,,,
  2 ,Age: 13-19 | Gender: Female | CETIRIZINE HCL,,,0.3725490196,,,,0.08256880734,,,,,,,,,
  2 ,"Age: 13-19 | Gender: Female | CHEST PAIN, UNSPECIFIED (dxo:ICD9:78650)",,,,,,,0.09090909091,,,,,,,0.3511450382,,
  11 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE,0.02586206897,0.04754601227,0.3401572467,,,0.198757764,0.1392857143,0.2339075249,,,0.1703406814,0.2025723473,,0.2726574501,0.005208333333,0.4397590361
  2 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE,,,,,,,0.25,,,,0.1601941748,,,,,
  5 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL,,0.06956521739,0.2990936556,,,,,0.3112244898,,,0.1546052632,,,0.2516556291,,
  1 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | TRAZODONE HCL,,,,,,,,,,,0.1570247934,,,,,
  4 ,"Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806)",,,0.2941176471,,,,0.06741573034,0.22,,,,,,0.256097561,,
  1 ,"Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | Last AD: Diff & No Remiss",,,,,,,0.05504587156,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | Last AD: Same & No Remiss",,,0.2679425837,,,,,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | Last AD: Same & No Remiss | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,0.2313432836,,,,,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,0.2843137255,,,,,,,,,,,,,
  4 ,"Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,0.2672413793,,,,,0.1923076923,,,0.06611570248,,,0.2713178295,,
  1 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | LAMOTRIGINE,,,0.1227436823,,,,,,,,,,,,,
  6 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | Last AD: Diff & No Remiss,,0.02830188679,,,,,0.1567567568,0.3413173653,,,0.2009345794,,,0.3577586207,0,
  2 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | Last AD: Diff & Remiss,,,,,,,0.247706422,,,,0.369047619,,,,,
  1 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | Last AD: Same & No Remiss,,,0.2548108825,,,,,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | Last AD: Same & No Remiss | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,0.2209302326,,,,,,,,,,,,,
  1 ,"Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | Last AD: Same & No Remiss | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,0.2647058824,,,,,,,,,,,,,
  1 ,Age: 13-19 | Gender: Female | CITALOPRAM HYDROBROMIDE | Last AD: Same & Remiss,,,0.5742092457,,,,,,,,,,,,,
